"inn"@;@"name"@;@"region_soato"@;@"district_soato"
"308777428"@;@"""QO`RG`ONCHA FAYZI"" MCHJ"@;@"1730"@;@"1730206"
"310514485"@;@ООО ?FENGYUAN?@;@"1726"@;@
"308957829"@;@"""AURORA NRG"" MCHJ QK"@;@"1726"@;@"1726283"
"310792102"@;@"""PAINTLINE CHEMICAL"" MCHJ"@;@"1703"@;@"1703209"
"305638830"@;@"""BITSOL"" MCHJ"@;@"1726"@;@"1726273"
"306231942"@;@OOO A-Len Color@;@"1726"@;@
"305451883"@;@"""MEDICAL INNOVATIONS AND TECHNOLOGIES"" MCHJ"@;@"1726"@;@"1726290"
"304491653"@;@"""GRAND MUSAFFO SAVDO SERVIS"" MCHJ"@;@"1714"@;@"1714236"
"303930304"@;@"ООО ""XUSANBOY RASULBEK"""@;@"1733"@;@
"301238604"@;@"""ORZU PARKENT KIMYO"" XK"@;@"1727"@;@"1727249"
"206344639"@;@TELEKOM BUILDING MCHJ@;@"1730"@;@
"201583701"@;@"""BAXT"" MCHJ"@;@"1718"@;@"1718209"
"311160279"@;@"""TLZ TOSHKENT LIFT ZAVODI"" MCHJ"@;@"1726"@;@"1726287"
"311086679"@;@"OOO ""GAZELLE LEATHER CRAFTS"""@;@"1726"@;@
"302551168"@;@"""KOSON RIVOJ TEKSTIL"" OK"@;@"1710"@;@"1710229"
"306815530"@;@"ООО ""MEBEL-ONLINE"""@;@"1726"@;@
"202156534"@;@"""IFTIXOR"" XK"@;@"1733"@;@"1733401"
"304351304"@;@"""JU FU"" MCHJ XK"@;@"1727"@;@"1727256"
