"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"market_by_tnved"@;@"fm"@;@"pl_2"@;@"coef_gotovnosti"@;@"pl_3"@;@"ilp"
"1513119902"@;@7 101@;@@;@@;@@;@@;@@;@7 101@;@@;@@;@0@;@@;@0,5
"6103490002"@;@17 113@;@@;@89 083@;@111 272@;@89 083@;@5 498@;@100 698@;@22 189@;@17 113@;@0,7@;@11 979,1@;@0,61
"8458918009"@;@2 194 200@;@11 271@;@@;@@;@@;@@;@2 194 200@;@@;@@;@0,3@;@@;@0,56
"5503110000"@;@587@;@@;@@;@@;@@;@@;@587@;@@;@@;@0@;@@;@0,5
"4911990000"@;@3 074 129@;@3 391 201@;@@;@@;@@;@@;@3 074 129@;@@;@@;@0,7@;@@;@0,64
"6206909000"@;@587 558@;@164 780@;@45 418@;@113 545@;@34 953@;@10 465@;@457 731@;@68 127@;@68 127@;@0,6@;@40 876,2@;@0,8
"8505110000"@;@488 877@;@104@;@790@;@790@;@790@;@@;@489 563@;@0@;@0@;@0,6@;@0@;@0,62
"6107110000"@;@575 641@;@15 126 377@;@6 113 152@;@6 846 194@;@5 295 375@;@1 118 188@;@5 570 605@;@733 042@;@575 641@;@1@;@575 641@;@0,63
"2912110000"@;@489 590@;@@;@3 695 690@;@5 820 838@;@3 586 403@;@147 148@;@4 038 132@;@2 125 148@;@489 590@;@0,7@;@342 713@;@1,5
"3215900000"@;@2 657 220@;@49 907@;@@;@@;@@;@@;@2 657 220@;@@;@@;@0,7@;@@;@0,64
"8523291505"@;@41 437@;@@;@@;@@;@@;@@;@41 437@;@@;@@;@0@;@@;@0,5
"5515290000"@;@11 008@;@@;@8 438@;@10 639@;@8 438@;@2@;@19 444@;@2 201@;@2 201@;@0,3@;@660,3@;@0,4
"8501402009"@;@12 059 580@;@11 399@;@64 532@;@64 532@;@64 278@;@255@;@12 112 458@;@0@;@0@;@0,6@;@0@;@0,62
"2939200000"@;@291@;@@;@@;@@;@@;@@;@291@;@@;@@;@0@;@@;@0,5
"0405909000"@;@105 469@;@@;@@;@@;@@;@@;@105 469@;@@;@@;@0@;@@;@0,5
"6214900000"@;@11 670@;@20 492@;@1 172 299@;@1 709 370@;@1 164 067@;@37 873@;@1 146 096@;@537 071@;@11 670@;@0,6@;@7 002@;@13,93
"8536693000"@;@28 375@;@@;@@;@@;@@;@@;@28 375@;@@;@@;@0@;@@;@0,5
"4802552500"@;@10 438 504@;@166 305@;@2 307@;@2 307@;@2 307@;@@;@10 274 506@;@0@;@0@;@0,6@;@0@;@0,63
"0302140000"@;@3 295 098@;@@;@@;@@;@@;@@;@3 295 098@;@@;@@;@0@;@@;@0,5
"9504200009"@;@122 178@;@15@;@@;@@;@@;@@;@122 178@;@@;@@;@0,3@;@@;@0,56
"2008977800"@;@8 487@;@@;@@;@@;@@;@@;@8 487@;@@;@@;@0@;@@;@0,5
"5211110000"@;@@;@@;@10 603 888@;@10 796 625@;@10 891 767@;@1 464 437@;@10 891 767@;@192 737@;@@;@0,7@;@@;@
"8702901190"@;@24 621 737@;@321 013@;@8 218 800@;@11 415 000@;@7 520 484@;@698 316@;@31 821 208@;@3 196 200@;@3 196 200@;@1@;@3 196 200@;@0,63
"9101290000"@;@47 176@;@@;@@;@@;@@;@@;@47 176@;@@;@@;@0@;@@;@0,5
"4408901508"@;@39 344@;@@;@@;@@;@@;@@;@39 344@;@@;@@;@0@;@@;@0,5
"7222111101"@;@@;@@;@3 650@;@3 650@;@3 650@;@@;@3 650@;@0@;@@;@0,3@;@@;@
"8201900001"@;@168 248@;@@;@1 364 315@;@1 364 315@;@1 160 660@;@79 001@;@1 453 562@;@0@;@0@;@0,7@;@0@;@0,2
"0811205900"@;@10 586@;@@;@@;@@;@@;@@;@10 586@;@@;@@;@0@;@@;@0,5
"5513390000"@;@2 311@;@@;@@;@@;@@;@@;@2 311@;@@;@@;@0@;@@;@0,5
"7018101900"@;@7 322@;@268@;@@;@@;@@;@@;@7 322@;@@;@@;@0,3@;@@;@0,56
"3005903100"@;@25 236@;@5 460 580@;@5 921 529@;@6 075 300@;@5 848 507@;@427 747@;@5 519 018@;@153 771@;@25 236@;@1@;@25 236@;@2,03
"3901908000"@;@4 910 128@;@71 419@;@6 930 836@;@7 641 518@;@6 924 722@;@90 671@;@11 750 293@;@710 682@;@710 682@;@0,6@;@426 409,2@;@0,37
"8428903000"@;@@;@@;@1 375 862@;@1 399 861@;@1 176 157@;@154 053@;@1 176 157@;@23 999@;@@;@0,3@;@@;@
"2009799809"@;@273 653@;@@;@@;@@;@@;@@;@273 653@;@@;@@;@0@;@@;@0,5
"7222111109"@;@494 602@;@@;@13 140@;@13 140@;@13 140@;@@;@507 742@;@0@;@0@;@0,3@;@0@;@0,55
"8413708109"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"8481804000"@;@5 508 902@;@209@;@54 070@;@54 070@;@52 112@;@1 959@;@5 560 804@;@0@;@0@;@0,6@;@0@;@0,62
"2804100000"@;@51 866@;@@;@31 085@;@153 871@;@31 085@;@@;@82 951@;@122 786@;@51 866@;@0,7@;@36 306,2@;@1,16
"5205210002"@;@@;@36 606@;@@;@@;@@;@@;@0@;@@;@@;@0,3@;@@;@
"8466919500"@;@133 088@;@371@;@74 834@;@117 702@;@74 834@;@@;@207 551@;@42 868@;@42 868@;@0,6@;@25 720,8@;@0,54
"2933995000"@;@3 419@;@@;@@;@@;@@;@@;@3 419@;@@;@@;@0@;@@;@0,5
"7310100000"@;@3 482 118@;@17 142@;@660 669@;@660 669@;@656 008@;@4 661@;@4 120 984@;@0@;@0@;@1@;@0@;@0,62
"3807009000"@;@1 480@;@@;@@;@@;@@;@@;@1 480@;@@;@@;@0@;@@;@0,5
"7315820000"@;@654 199@;@2 100@;@103 634@;@194 397@;@103 634@;@@;@755 733@;@90 763@;@90 763@;@1@;@90 763@;@0,67
"4804419800"@;@49@;@@;@158@;@158@;@158@;@@;@207@;@0@;@0@;@0,3@;@0@;@0,18
"4819400000"@;@2 152 994@;@1 924 051@;@12 759 433@;@13 225 509@;@12 759 120@;@6 583@;@14 905 844@;@466 076@;@466 076@;@1@;@466 076@;@0,34
"5514490000"@;@@;@17 718@;@@;@@;@@;@@;@0@;@@;@@;@0,3@;@@;@
"6601100000"@;@1 316 814@;@2 446@;@308 765@;@394 107@;@270 956@;@37 811@;@1 585 322@;@85 342@;@85 342@;@1@;@85 342@;@0,63
"6402999800"@;@1 246 058@;@349 844@;@44 369@;@63 427@;@40 969@;@2 963@;@937 620@;@19 058@;@19 058@;@1@;@19 058@;@0,87
"8408904500"@;@69 967@;@@;@@;@@;@@;@@;@69 967@;@@;@@;@0@;@@;@0,5
